# cu        rbx       run       rm        sipm_ch   uhtr_ch   shunt     max_adc   max_pc    result    
6         0         4         4         19        103       31        195       511.23    1         
6         0         4         4         20        104       31        211       867.22    1         
6         0         4         4         21        105       31        210       830.71    1         
6         0         4         4         22        106       31        217       1086.25   1         
6         0         4         4         23        107       31        213       940.23    1         
6         0         4         4         24        108       31        210       830.71    1         
6         0         4         4         25        109       31        203       657.26    1         
6         0         4         4         26        110       31        210       830.71    1         
6         0         4         4         27        111       31        203       657.26    1         
6         0         4         4         28        112       31        208       757.70    1         
6         0         4         4         30        114       31        211       867.22    1         
6         0         4         4         31        115       31        204       675.51    1         
6         0         4         4         32        116       31        212       903.73    1         
6         0         4         4         33        117       31        206       712.02    1         
6         0         4         4         34        118       31        211       867.22    1         
6         0         4         4         35        119       31        205       693.76    1         
6         0         4         4         36        120       31        209       794.21    1         
6         0         4         4         38        122       31        203       657.26    1         
6         0         4         4         39        123       31        211       867.22    1         
6         0         4         4         40        124       31        208       757.70    1         
6         0         4         4         41        125       31        209       794.21    1         
6         0         4         4         42        126       31        207       730.27    1         
6         0         4         4         43        127       31        217       1086.25   1         
6         0         4         4         44        128       31        212       903.73    1         
6         0         4         4         45        129       31        216       1049.75   1         
6         0         4         4         46        130       31        210       830.71    1         
6         0         4         4         47        131       31        212       903.73    1         
6         0         5         1         0         12        31        200       602.50    1         
6         0         5         1         1         13        31        211       867.22    1         
6         0         5         1         2         14        31        211       867.22    1         
6         0         5         1         3         15        31        210       830.71    1         
6         0         5         1         4         16        31        212       903.73    1         
6         0         5         1         5         17        31        217       1086.25   1         
6         0         5         1         6         18        31        209       794.21    1         
6         0         5         1         7         19        31        209       794.21    1         
6         0         5         1         8         20        31        210       830.71    1         
6         0         5         1         9         21        31        208       757.70    1         
6         0         5         1         10        22        31        212       903.73    1         
6         0         5         1         11        23        31        221       1232.28   1         
6         0         5         1         12        24        31        221       1232.28   1         
6         0         5         1         13        25        31        220       1195.77   1         
6         0         5         1         14        26        31        210       830.71    1         
6         0         5         1         15        27        31        210       830.71    1         
6         0         5         1         16        28        31        211       867.22    1         
6         0         5         1         17        29        31        220       1195.77   1         
6         0         5         1         18        30        31        213       940.23    1         
6         0         5         1         19        31        31        201       620.75    1         
6         0         5         1         20        32        31        212       903.73    1         
6         0         5         1         21        33        31        209       794.21    1         
6         0         5         1         22        34        31        213       940.23    1         
6         0         5         1         23        35        31        210       830.71    1         
6         0         5         1         24        36        31        212       903.73    1         
6         0         5         1         25        37        31        216       1049.75   1         
6         0         5         1         26        38        31        210       830.71    1         
6         0         5         1         27        39        31        215       1013.24   1         
6         0         5         1         28        40        31        216       1049.75   1         
6         0         5         1         29        41        31        211       867.22    1         
6         0         5         1         30        42        31        213       940.23    1         
